Açlık ,Knut Hamsun
 Aganta Burina Burinata ,Halikarnas Balıkçısı
Akdeniz ,Panait Istrati
 Ayaşlı ile Kiracıları,Memduh Şevket Esendal
 Babalar ve Oğullar,Turgenyev
Beyaz Diş ,Jack London
Beyaz Gemi ,Cengiz Aytmatov
 Bir Bilim Adamının Romanı ,Oğuz Atay
Cemo ,Kemal Bilbaşar
 Çalıkuşu ,Reşat Nuri Güntekin
 Çanlar Kimin İçin Çalıyor ,Ernest Hemingway
 Derviş ve Ölüm ,Mehmet Selimoviç
 Dokuzuncu Hariciye Koğuşu ,Peyami Safa
Don Kişot,Cervantes,
 Drina Köprüsü ,İvo Andriç
 Drina’da Son Gün ,Faik Baysal
 Esir Şehrin İnsanları,Kemal Tahir
Eskicinin Oğulları,Orhan Kemal
 Fareler ve İnsanlar,John Steinbeck
 Fatih-Harbiye,Peyami Safa
 Gora,Rabindranath Tagore
 Gün Olur Asra Bedel,Cengiz Aytmatov
 İbrahim Efendi Konağı ,Samiha Ayverdi
 İki Şehrin Hikayesi ,Charles Dickens
 Kalpaklılar ,Samim Kocagöz
 Kaplumbağalar ,Fakir Baykurt
 Karartma Geceleri ,Rıfat Ilgaz
 Kayıp Aranıyor ,Sait Faik Abasıyanık
 Kiralık Konak ,Yakup Kadri Karaosmanoğlu
 Kuyruklu Yıldız Altında Bir İzdivaç,Hüseyin Rahmi Gürpınar
 Kuyucaklı Yusuf,Sabahattin Ali
